activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Tissage;Tissage;Tissage;Fabrication de textiles;Industrie manufacturière
Enseignement primaire;Enseignement primaire;Enseignement primaire;Enseignement;Enseignement
Portails Internet;Portails Internet;"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
Analyses, essais et inspections techniques;Activités de contrôle et analyses techniques;Activités de contrôle et analyses techniques;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Fabrication d'articles de joaillerie et bijouterie;Fabrication d'articles de joaillerie et bijouterie;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Enregistrement sonore et édition musicale;Enregistrement sonore et édition musicale;Enregistrement sonore et édition musicale;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Hébergement social pour toxicomanes;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement médico-social et social;Santé humaine et action sociale
Enseignement de la conduite;Enseignement de la conduite;Autres activités d'enseignement;Enseignement;Enseignement
Métallurgie du plomb, du zinc ou de l'étain;Métallurgie du plomb, du zinc ou de l'étain;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Aide à domicile;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Fabrication d'équipements d'emballage, de conditionnement et de pesage;Fabrication de machines diverses d'usage général;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication de portes et fenêtres en métal;Fabrication de portes et fenêtres en métal;Fabrication d'éléments en métal pour la construction;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de parquets assemblés;Fabrication de parquets assemblés;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Fabrication de gaz industriels;Fabrication de gaz industriels;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités extra-territoriales
Fabrication industrielle de pain et de pâtisserie fraîche;Fabrication de pain et de pâtisserie fraîche;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Enseignement post-secondaire non supérieur;Enseignement post-secondaire non supérieur;Enseignement supérieur et post-secondaire non supérieur;Enseignement;Enseignement
Fabrication de produits réfractaires;Fabrication de produits réfractaires;Fabrication de produits réfractaires;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités des syndicats de salariés;Activités des syndicats de salariés;Activités des syndicats de salariés;Activités des organisations associatives;Autres activités de services
Fabrication d'équipements électriques et électroniques automobiles;Fabrication d'équipements électriques et électroniques automobiles;Fabrication d'équipements automobiles;Industrie automobile;Industrie manufacturière
Extraction de tourbe;Extraction de tourbe;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Commerce et réparation de motocycles;Commerce et réparation de motocycles;Commerce et réparation de motocycles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'emballages en bois;Fabrication d'emballages en bois;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Autres activités manufacturières n.c.a.;Autres activités manufacturières n.c.a.;Activités manufacturières n.c.a.;Autres industries manufacturières;Industrie manufacturière
Travaux de terrassement spécialisés ou de grande masse;Travaux de préparation des sites;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Exploitation forestière;Exploitation forestière;Exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Commerce de détail de biens d'occasion en magasin;Commerce de détail de biens d'occasion en magasin;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres services de réservation et activités connexes;Autres services de réservation et activités connexes;Autres services de réservation et activités connexes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Fabrication d'instrumentation scientifique et technique;Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Sidérurgie;Sidérurgie;Sidérurgie;Métallurgie;Industrie manufacturière
Réparation d'équipements électriques;Réparation d'équipements électriques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Travaux d'isolation;Autres travaux d'installation;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Centrales d'achat alimentaires;Intermédiaires du commerce en denrées, boissons et tabac;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de lignite;Extraction de lignite;Extraction de lignite;Extraction de houille et de lignite;Industries extractives
Transport d'électricité;Transport d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication de pesticides et d'autres produits agrochimiques;Fabrication de pesticides et d'autres produits agrochimiques;Fabrication de pesticides et d'autres produits agrochimiques;Industrie chimique;Industrie manufacturière
Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.;Autres commerces de détail hors magasin, éventaires ou marchés;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Frappe de monnaie;Frappe de monnaie;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Fabrication d'articles chaussants à mailles;Fabrication d'articles chaussants à mailles;Fabrication d'articles à mailles;Industrie de l'habillement;Industrie manufacturière
Installation de structures métalliques, chaudronnées et de tuyauterie;Installation de machines et d'équipements industriels;Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
Préparation de jus de fruits et légumes;Préparation de jus de fruits et légumes;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Activités de banque centrale;Activités de banque centrale;Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Fabrication d'ouvrages en fibre-ciment;Fabrication d'ouvrages en fibre-ciment;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Conseil en relations publiques et communication;Conseil en relations publiques et communication;Conseil de gestion;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Aide par le travail;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Gestion des sites et monuments historiques et des attractions touristiques similaires;Gestion des sites et monuments historiques et des attractions touristiques similaires;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
