classeActivite;groupeActivite;divisionActivite;sectionActivite
Affaires étrangères;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Pêche en mer;Pêche;Pêche et aquaculture;Agriculture, sylviculture et pêche
Fabrication de matériel de distribution et de commande électrique;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication d'équipements électriques;Industrie manufacturière
Location et location-bail d'autres biens personnels et domestiques;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication de machines pour l'industrie agro-alimentaire;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités de pré-presse;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Activités vétérinaires;Activités vétérinaires;Activités vétérinaires;Activités spécialisées, scientifiques et techniques
Conseil pour les affaires et autres conseils de gestion;Conseil de gestion;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Édition d'autres logiciels;Édition de logiciels;Édition;Information et communication
Fabrication de matériel d'installation électrique;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Services d'aménagement paysager;Services d'aménagement paysager;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Chasse, piégeage et services annexes;Chasse, piégeage et services annexes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Construction de réseaux pour fluides;Construction de réseaux et de lignes;Génie civil;Construction
Édition de livres;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Projection de films cinématographiques;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Traitement des semences;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Culture et élevage associés;Culture et élevage associés;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de condiments et assaisonnements;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Élevage d'autres bovins et de buffles;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de minerais d'uranium et de thorium;Extraction de minerais de métaux non ferreux;Extraction de minerais métalliques;Industries extractives
Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros d'animaux vivants;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Sciage et rabotage du bois;Sciage et rabotage du bois;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Fabrication de pâtes alimentaires;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Réparation de chaussures et d'articles en cuir;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Réparation et maintenance d'aéronefs et d'engins spatiaux;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Commerce de gros de textiles;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres activités d'édition;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Fabrication de produits abrasifs;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de gros de produits chimiques;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités de soutien à l'enseignement;Activités de soutien à l'enseignement;Enseignement;Enseignement
Fabrication de meubles de cuisine;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Fabrication de chaux et plâtre;Fabrication de ciment, chaux et plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres activités de soutien aux entreprises n.c.a.;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Travaux de couverture;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Production de vin (de raisin);Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
